,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
26638,3921460316,"Uherský Brod, okres Uherské Hradiště",CZ,49.0251299454809,17.647150550695898,polygon,90.0,17200.0,CZK,Pronájem bytu 2+kk 90 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/uhersky-brod-uhersky-brod-/3921460316
26639,3923295324,"Francouzská třída, Plzeň - Východní Předměstí",CZ,49.728660335839606,13.4022691589884,line,59.0,10500.0,CZK,Pronájem bytu 2+1 59 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/plzen-vychodni-predmesti-francouzska-trida/3923295324
26643,3922181212,"Blahoslavova, Prostějov",CZ,49.47412223813622,17.107103678838197,line,28.0,8000.0,CZK,Pronájem bytu 1+kk 28 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/prostejov-prostejov-blahoslavova/3922181212
26648,3924889436,"Štúrova, Praha 4 - Krč",CZ,50.0202827,14.453166,point,25.0,9500.0,CZK,Pronájem bytu 1+kk 25 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-krc-sturova/3924889436
26650,3924893532,"Plzeň - Valcha, okres Plzeň-město",CZ,49.710671999999995,13.326053,point,59.0,14000.0,CZK,Pronájem bytu 2+kk 59 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/plzen-valcha-/3924893532
26652,3924339804,"Křiby, Zlín",CZ,49.2395453318145,17.6647920814307,line,62.0,15000.0,CZK,Pronájem bytu 2+1 62 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-kriby/3924339804
26653,3925781596,"Londýnská, Praha 2 - Vinohrady",CZ,50.07109880088039,14.4356830765222,point,115.0,26000.0,CZK,Pronájem bytu 3+1 115 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/praha-vinohrady-londynska/3925781596
26655,3925094236,"Pod lipkami, Praha 5 - Smíchov",CZ,50.0721145823644,14.3734953861021,point,61.0,15000.0,CZK,Pronájem bytu 2+kk 61 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-smichov-pod-lipkami/3925094236
26657,3924184924,"Nad Okrouhlíkem, Praha 8 - Libeň",CZ,50.122066499999995,14.466710999999998,point,86.0,20000.0,CZK,Pronájem bytu 3+kk 86 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-liben-nad-okrouhlikem/3924184924
26659,3925372764,"Kališnická, Praha 3 - Žižkov",CZ,50.0900641825,14.4643265629,point,79.0,28000.0,CZK,Pronájem bytu 3+kk 79 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-zizkov-kalisnicka/3925372764
26663,3925835612,"tř. Osvobození, Karviná - Nové Město",CZ,49.860508333332994,18.540418055556,point,72.0,6700.0,CZK,Pronájem bytu 3+1 72 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+1/karvina-nove-mesto-tr--osvobozeni/3925835612
26666,3926077276,"Korunní, Praha 2 - Vinohrady",CZ,50.0754505654673,14.441486987077,point,39.0,16000.0,CZK,Pronájem bytu 1+1 39 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/praha-vinohrady-korunni/3926077276
26667,3926032220,"Bořivojova, Praha 3 - Žižkov",CZ,50.0834717650758,14.4507787871572,line,40.0,16400.0,CZK,Pronájem bytu 1+kk 40 m² (Podkrovní),apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-zizkov-borivojova/3926032220
26670,3926683484,"ulice Kosmonautů, Brno - Starý Lískovec",CZ,49.1660923557061,16.5667704721887,point,44.0,14000.0,CZK,Pronájem bytu 2+kk 44 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/brno-stary-liskovec-ulice-kosmonautu/3926683484
26671,3926170716,"U vinných sklepů, Praha 9 - Vysočany",CZ,50.1125389475959,14.4951201371101,point,45.0,10950.0,CZK,Pronájem bytu 2+kk 45 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-vysocany-u-vinnych-sklepu/3926170716
26672,3927125596,"Šumavská, Praha 2 - Vinohrady",CZ,50.07474959950561,14.443769200803699,point,75.0,29000.0,CZK,Pronájem bytu 3+kk 75 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/praha-vinohrady-sumavska/3927125596
26673,3927453276,"Nitranská, Praha 10 - Vinohrady",CZ,50.07571344255071,14.450433223185199,line,150.0,39000.0,CZK,Pronájem bytu 4+1 150 m² (Mezonet),apartment,rent,https://www.sreality.cz/detail/pronajem/byt/4+1/praha-vinohrady-nitranska/3927453276
26677,3925580892,"Osvobození, Stochov - Honice",CZ,50.148932863070094,13.9616188365316,line,55.0,9500.0,CZK,Pronájem bytu 1+1 55 m² (Mezonet),apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+1/stochov-honice-osvobozeni/3925580892
26678,3927436892,"Vršovců, Ostrava - Mariánské Hory",CZ,49.832970472414104,18.250680273441397,point,120.0,29900.0,CZK,Pronájem bytu 3+kk 120 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/ostrava-marianske-hory-vrsovcu/3927436892
26681,3927924572,"Čelakovského, Frýdek-Místek - Místek",CZ,49.6606013188735,18.354489542493,point,86.0,16400.0,CZK,Pronájem bytu 3+kk 86 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/3+kk/frydek-mistek-mistek-celakovskeho/3927924572
26682,3927882844,"Vlkova, Praha 3 - Žižkov",CZ,50.0835190970994,14.4470923908433,line,26.0,9800.0,CZK,Pronájem bytu 1+kk 26 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/1+kk/praha-zizkov-vlkova/3927882844
26683,3928518492,"U Výstaviště, Praha 7 - Holešovice",CZ,50.1065129196051,14.435647896783399,point,42.0,11000.0,CZK,Pronájem bytu 2+kk 42 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/praha-holesovice-u-vystaviste/3928518492
26684,3928428380,"Mošnerova, Olomouc - Nová Ulice",CZ,49.5823,17.2295,point,57.0,12000.0,CZK,Pronájem bytu 2+kk 57 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+kk/olomouc-nova-ulice-mosnerova/3928428380
26686,3928969052,"Kubelíkova, Praha 3 - Žižkov",CZ,50.0822582429545,14.4489159140826,point,79.0,18500.0,CZK,Pronájem bytu 2+1 79 m²,apartment,rent,https://www.sreality.cz/detail/pronajem/byt/2+1/praha-zizkov-kubelikova/3928969052
