id,local_unique_id,address,lat,lng,price,title,offer_type,url,kod_zsj_d
13556,3495358044,"Skokanská, Praha - Břevnov",50.080412505906,14.3761765375406,27817900,Prodej bytu 5+kk 222 m²,sale,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-brevnov-skokanska/3495358044,1295690
13557,3838336604,"Nad Tejnkou, Praha 6 - Břevnov",50.0819336981865,14.375559778347002,24990000,Prodej bytu 5+kk 220 m²,sale,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-brevnov-nad-tejnkou/3838336604,1295690
13559,1842577244,"Patočkova, Praha 6 - Střešovice",50.0861677112927,14.3685230907705,8350000,Prodej bytu 4+kk 93 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-stresovice-patockova/1842577244,1293210
13561,19640156,"Na Petynce, Praha 6 - Břevnov",50.0877666998291,14.368231416628499,14850000,Prodej bytu 3+kk 138 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-na-petynce/19640156,1293210
13568,1195429468,"Radimova, Praha 6 - Břevnov",50.0872031504223,14.3720782152513,19900000,Prodej bytu 3+1 143 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-brevnov-radimova/1195429468,1293210
13573,3793656924,"Myslivečkova, Praha - Břevnov",50.0894568701927,14.3548907006654,7900000,Prodej bytu 3+kk 78 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-mysliveckova/3793656924,3062910
13574,2384318044,"Na Petynce, Praha 6 - Břevnov",50.088114939418794,14.3689969421299,11992000,Prodej bytu 4+kk 134 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-brevnov-na-petynce/2384318044,1293300
13576,3137769308,"U třetí baterie, Praha 6 - Břevnov",50.0898767141,14.3643683772,9950000,Prodej bytu 3+1 89 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-brevnov-u-treti-baterie/3137769308,1293300
13582,806182492,"U první baterie, Praha 6 - Břevnov",50.088783369994296,14.3656563655334,13790000,Prodej bytu 5+kk 179 m²,sale,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-brevnov-u-prvni-baterie/806182492,1293300
13585,1265586012,"U první baterie, Praha 6 - Břevnov",50.088783369994296,14.3656563655334,9490000,Prodej bytu 4+1 111 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+1/praha-brevnov-u-prvni-baterie/1265586012,1293300
13590,430513756,"Šantrochova, Praha 6 - Břevnov",50.087966775599796,14.3490180946648,4950000,Prodej bytu 2+1 54 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-brevnov-santrochova/430513756,1293720
13595,3810721372,"Na břevnovské pláni, Praha 6 - Břevnov",50.0751883691551,14.3269965242095,21290000,Prodej bytu 4+kk 160 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-brevnov-na-brevnovske-plani/3810721372,1296310
13596,4026900060,"Bělohorská, Praha 6 - Břevnov",50.075900680597705,14.3320825920895,9580000,Prodej bytu 3+kk 86 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-brevnov-belohorska/4026900060,1296310
13604,1837141852,"Tupolevova, Praha 9 - Letňany",50.1366644444,14.5049572222,5900000,Prodej bytu 3+1 77 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-letnany-tupolevova/1837141852,1314150
13607,3055312476,"Tupolevova, Praha 9 - Letňany",50.1327095031738,14.5054397583008,5290000,Prodej bytu 2+kk 65 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-tupolevova/3055312476,1314150
13614,1536912988,"Letovská, Praha 9 - Letňany",50.141056876770804,14.515531516966501,3990000,Prodej bytu 2+kk 46 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-letovska/1536912988,1314310
13618,2023186268,"Ostravská, Praha 9 - Letňany",50.138070769246795,14.5159326479469,3759000,Prodej bytu 2+kk 46 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-ostravska/2023186268,1314310
13620,2368445532,"Ostravská, Praha 9 - Letňany",50.13843416665999,14.51622583333,3688000,Prodej bytu 2+kk 39 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-ostravska/2368445532,1314310
13621,2667953244,"Tvrdého, Praha 9 - Letňany",50.1355400085449,14.512149810791,6250000,Prodej bytu 3+kk 74 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-tvrdeho/2667953244,1314310
13623,3807645532,"Kladrubská, Praha - Letňany",50.13982782516421,14.5111081420297,6200000,Prodej bytu 4+kk 100 m²,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-letnany-kladrubska/3807645532,1314310
13630,915935068,Praha 9 - Letňany,50.137597009131795,14.5151435303769,4990000,Prodej bytu 1+kk 65 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-/915935068,1314310
13636,1763491676,"Chotěšovská, Praha 9 - Letňany",50.1281666120314,14.5019516109372,5190000,Prodej bytu 1+kk 69 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-chotesovska/1763491676,3059950
13640,2623008604,"Chotěšovská, Praha 9 - Letňany",50.1281666120314,14.5019516109372,4499000,Prodej bytu 1+kk 54 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-chotesovska/2623008604,3059950
13642,2695417436,"Kostomlatská, Praha 9 - Letňany",50.1283010015096,14.5009816728424,13000000,Prodej bytu 5+kk 127 m² (Mezonet),sale,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-letnany-kostomlatska/2695417436,3059950
13649,490164060,"Bechlínská, Praha 9 - Letňany",50.1270371039,14.503070646700001,4841000,Prodej bytu 2+kk 58 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-bechlinska/490164060,3059950
13654,1802484828,"Pavla Beneše, Praha 9 - Letňany",50.13865539011189,14.5182442632061,4290000,Prodej bytu 1+kk 71 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-pavla-benese/1802484828,1314400
13657,2121391964,"Nepomuckých, Praha 9 - Letňany",50.1375956106952,14.520145636896999,8621000,Prodej bytu 3+kk 80 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-nepomuckych/2121391964,1314400
13658,2293722972,"Miroslava Hajna, Praha 9 - Letňany",50.1407117905387,14.520404703639999,6600000,Prodej bytu 2+kk 65 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-miroslava-hajna/2293722972,1314400
13662,3305520988,"Škrábkových, Praha 9 - Letňany",50.140934329576595,14.5189049437655,4200000,Prodej bytu 1+kk 44 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-skrabkovych/3305520988,1314400
13663,321104988,"Miroslava Hajna, Praha 9 - Letňany",50.1396293640137,14.5192699432373,5490000,Prodej bytu 2+kk 68 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-miroslava-hajna/321104988,1314400
13665,3986034524,"Nepomuckých, Praha 9 - Letňany",50.1375956106952,14.520145636896999,9800000,Prodej bytu 3+kk 70 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-nepomuckych/3986034524,1314400
13668,4158762844,"Škrábkových, Praha 9 - Letňany",50.140869099999996,14.5185471,4490000,Prodej bytu 1+kk 45 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-skrabkovych/4158762844,1314400
13670,493993052,"Škrábkových, Praha 9 - Letňany",50.1408985,14.518962699999998,3790000,Prodej bytu 1+kk 36 m²,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-skrabkovych/493993052,1314400
13671,686587740,"Pavla Beneše, Praha 9 - Letňany",50.1394165087302,14.5188656124976,5150000,Prodej bytu 2+kk 70 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-pavla-benese/686587740,1314400
13673,752335964,"Miroslava Hajna, Praha 9 - Letňany",50.14008,14.519846944400001,6750000,Prodej bytu 3+kk 68 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-miroslava-hajna/752335964,1314400
13674,868695644,"Miroslava Hajna, Praha 9 - Letňany",50.14008,14.519846944400001,8299000,Prodej bytu 3+kk 86 m²,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-letnany-miroslava-hajna/868695644,1314400
13675,945843804,"Miroslava Hajna, Praha 9 - Letňany",50.1397094726563,14.5204401016235,5890000,Prodej bytu 2+kk 76 m²,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-letnany-miroslava-hajna/945843804,1314400
