id,local_unique_id,price,living_area,kod_zsj_d,lat,lng,prumer
0,69468,7511000,58.0,1287910,50.0727965249743,14.393182617281001,129500.0
5,1705618524,4490000,38.0,1287910,50.07318805684979,14.393391864552,118157.8947368421
10,1889807964,5450000,46.0,1287910,50.0736059398195,14.393855944925498,118478.26086956522
12,2005888860,6997000,60.0,1287910,50.0737994196445,14.3941386045369,116616.66666666667
16,2113928796,5985000,46.0,1287910,50.0736059398195,14.393855944925498,130108.69565217392
18,2226756700,13650000,125.0,1287910,50.0720333957088,14.3895247619449,109200.0
21,2281770844,8288000,64.0,1287910,50.0733246891532,14.3953638904022,129500.0
22,2295291484,18990000,136.0,1287910,50.0738410949707,14.397780418396001,139632.35294117648
29,2427776860,25990000,149.0,1287910,50.073078569188496,14.3945013211692,174429.53020134228
30,2430877532,7128000,63.0,1287910,50.070585583615,14.3988945074925,113142.85714285714
32,2462633564,18000000,138.0,1287910,50.0746845839,14.393682565699999,130434.78260869565
33,233561948,17990000,129.0,1287910,50.07453929954929,14.397633287388501,139457.36434108528
36,2548059996,7990000,60.0,1287910,50.074720408895395,14.3949545425205,133166.66666666666
38,2610249308,3996000,30.0,1287910,50.0736059398195,14.393855944925498,133200.0
40,2644094044,7200000,55.0,1287910,50.0748423015374,14.3936457230982,130909.09090909091
41,2646199900,5990000,56.0,1287910,50.0721604077538,14.3906244460408,106964.28571428571
42,2657697372,3997000,25.0,1287910,50.0736059398195,14.393855944925498,159880.0
45,2762853980,4790000,26.0,1287910,50.073078569188496,14.3945013211692,184230.76923076922
46,2782772316,6991400,60.0,1287910,50.07335,14.395922,116523.33333333333
50,26177372,4999500,47.0,1287910,50.073593100000004,14.393877,106372.34042553192
60,3065519708,8970000,60.0,1287910,50.0737994196445,14.3941386045369,149500.0
61,3108551772,4998000,50.0,1287910,50.0737994196445,14.3941386045369,99960.0
63,3129658972,15721800,119.0,1287910,50.0733492205478,14.3959223174511,132115.96638655462
64,3166948956,5490000,43.0,1287910,50.07468032836911,14.394900321960401,127674.41860465116
65,3179363932,8008300,62.0,1287910,50.073078569188496,14.3945013211692,129166.12903225806
66,3268153692,5990000,40.0,1287910,50.0735092163086,14.3964595794678,149750.0
71,3351367260,11196900,82.0,1287910,50.072824,14.396263000000001,136547.56097560975
72,3397598812,11900000,105.0,1287910,50.0724907,14.3936663,113333.33333333333
74,3470630748,12300000,100.0,1287910,50.074720408895395,14.3949545425205,123000.0
76,3581435484,5690000,44.0,1287910,50.0744705200195,14.397159576416,129318.18181818182
78,348245596,25292400,168.0,1287910,50.072824,14.396263000000001,150550.0
81,3702181724,6492000,57.0,1287910,50.072820612087895,14.3907836670648,113894.73684210527
84,3796385372,7606000,62.0,1287910,50.07335,14.3959222222222,122677.41935483871
88,3888238172,7615200,57.0,1287910,50.072824,14.396263000000001,133600.0
89,3927039580,13300000,104.0,1287910,50.072450221459896,14.393631853154302,127884.61538461539
90,3934469724,7800000,91.0,1287910,50.0724907,14.3936663,85714.28571428571
91,4033490524,8780000,69.0,1287910,50.073078569188496,14.3945013211692,127246.37681159421
93,4051976028,17500000,142.0,1287910,50.0748423015374,14.3936457230982,123239.43661971831
99,4156673628,8476300,61.0,1287910,50.072824,14.396263000000001,138955.73770491802
100,4180320092,4996000,44.0,1287910,50.0737994196445,14.3941386045369,113545.45454545454
102,4264030044,5950000,53.0,1287910,50.074240730429494,14.397560509976303,112264.15094339622
106,618573404,8789000,84.0,1287910,50.0725212097168,14.3942003250122,104630.95238095238
107,680185436,10505900,78.0,1287910,50.0733492205478,14.3959223174511,134691.02564102566
109,793394780,7950000,50.0,1287910,50.0740987774347,14.3951989373977,159000.0
118,885116508,15753500,119.0,1287910,50.072824,14.396263000000001,132382.35294117648
125,929995868,12300000,100.0,1287910,50.0744932159447,14.3951621397034,123000.0
142,1005313884,10990000,71.0,1287910,50.07453929954929,14.397633287388501,154788.7323943662
152,93269596,5650000,71.0,1287910,50.0737994196445,14.3941386045369,79577.4647887324
160,1062297436,6200000,48.0,1287910,50.073662436976996,14.396597972297599,129166.66666666667
164,1086193244,19990000,194.0,1287910,50.0748423015374,14.3936457230982,103041.23711340207
169,100613724,5990000,39.0,1287910,50.073078569188496,14.3945013211692,153589.7435897436
175,1193974876,9900000,75.0,1287910,50.074720408895395,14.3949545425205,132000.0
177,1264270940,7500000,44.0,1287910,50.0740987774347,14.3951989373977,170454.54545454544
178,1269406812,5150000,56.0,1287910,50.0720333957088,14.3895247619449,91964.28571428571
179,1311924060,3590000,27.0,1287910,50.0724487,14.392718300000002,132962.96296296295
183,1455386460,3890000,25.0,1287910,50.0737994196445,14.3941386045369,155600.0
185,1490922588,7937000,65.0,1288130,50.06943130493161,14.402580261230499,122107.69230769231
188,1603451996,10990000,79.0,1288130,50.070240020752,14.4048299789429,139113.92405063292
190,1769082716,13900000,106.0,1288130,50.0712165683836,14.403089728603005,131132.0754716981
196,2192207708,9980000,86.0,1288130,50.07046799447871,14.403036250372901,116046.51162790698
202,2374578012,3920000,36.0,1288130,50.06749379475021,14.3966950403701,108888.88888888889
204,2442891100,12000000,134.0,1288130,50.065731048584006,14.395899772644,89552.23880597015
212,3086143324,6650000,70.0,1288130,50.06749937149221,14.3964220838205,95000.0
213,3159268444,8500000,63.0,1288130,50.06681574102939,14.3965669418819,134920.6349206349
214,3313880668,34500000,278.0,1288130,50.06681574102939,14.3965669418819,124100.71942446043
218,3358752604,8190000,82.0,1288130,50.06749379475021,14.3966950403701,99878.0487804878
220,3469585500,6990000,56.0,1288130,50.06943130493161,14.402580261230499,124821.42857142857
223,34856540,14500000,110.0,1288130,50.0680150927881,14.398651246663801,131818.18181818182
228,4001606748,5650000,44.0,1288130,50.06943130493161,14.402580261230499,128409.09090909091
229,4046675804,20300000,178.0,1288130,50.069015676461895,14.3995297009657,114044.94382022473
232,4192054364,6958000,58.0,1288130,50.06943130493161,14.402580261230499,119965.5172413793
233,4197994332,7900000,75.0,1288130,50.066551200000006,14.4025669,105333.33333333333
234,414011228,19900000,191.0,1288130,50.06681574102939,14.3965669418819,104188.48167539267
236,47529820,4760000,53.0,1288130,50.06749379475021,14.3966950403701,89811.32075471699
241,702393436,11955000,100.0,1288130,50.06943130493161,14.402580261230499,119550.0
258,1087618652,20900000,222.0,1288130,50.06681574102939,14.3965669418819,94144.14414414414
264,1323150428,11452000,99.0,1288130,50.06943130493161,14.402580261230499,115676.76767676767
267,1481015132,12590000,126.0,1290620,50.0698294407536,14.407151351893498,99920.63492063493
268,1481944924,8900000,82.0,1290620,50.0706533099921,14.4069602925964,108536.58536585367
270,1536528220,3999000,29.0,1290620,50.070824834668294,14.4094746976993,137896.55172413794
275,1836441180,10990000,102.0,1290620,50.0696306080916,14.4066962856709,107745.09803921569
277,2006110044,10980000,110.0,1290620,50.07061565921099,14.407784017897198,99818.18181818182
284,2379026268,7499000,61.0,1290620,50.071708055550005,14.40723111111,122934.4262295082
290,2547895900,12300000,123.0,1290620,50.07061565921099,14.407784017897198,100000.0
308,3771190876,10390000,115.0,1290620,50.07061565921099,14.407784017897198,90347.82608695653
311,4219862876,8500000,76.0,1290620,50.0716199904,14.4061754799,111842.1052631579
312,4289252956,16990000,113.0,1290620,50.071708,14.407231,150353.98230088496
315,535146332,6490000,72.0,1290620,50.0707145364062,14.4101878747369,90138.88888888889
324,718314588,6900000,55.0,1290620,50.07102070000001,14.406903400000001,125454.54545454546
331,971874140,5300000,62.0,1290620,50.07061565921099,14.407784017897198,85483.87096774194
334,1092365916,7300000,69.0,1290620,50.071708,14.407231,105797.10144927536
336,1102523996,7340000,71.0,1290620,50.07061565921099,14.407784017897198,103380.28169014085
343,1271045212,10990000,114.0,1290620,50.07061565921099,14.407784017897198,96403.50877192983
344,1421623132,7300000,70.0,1290620,50.0715491076,14.405417308199999,104285.71428571429
347,1469513564,4500000,40.0,1290620,50.07061565921099,14.407784017897198,112500.0
356,1736535644,6599000,32.0,1290540,50.076806539281705,14.407261197792002,206218.75
361,1827372892,10500000,83.0,1290540,50.077994,14.406175,126506.02409638555
363,1905953884,5300000,35.0,1290540,50.073023898249,14.408387825618998,151428.57142857142
364,1940659804,13400000,103.0,1290540,50.0760983230272,14.4071604045781,130097.08737864078
365,1963221340,18700000,117.0,1290540,50.077675137468795,14.4067445014034,159829.05982905984
371,2155421276,13815000,109.0,1290540,50.0753085253113,14.405656171915199,126743.11926605504
375,2199863132,3000000,25.0,1290540,50.074310013408,14.4050253915871,120000.0
377,2231824220,7200000,60.0,1290540,50.0756079036353,14.408438342160098,120000.0
382,2458074716,18900000,113.0,1290540,50.0786938422147,14.408144250804998,167256.6371681416
387,2588163676,6900000,39.0,1290540,50.0753085253113,14.405656171915199,176923.07692307694
391,2693722460,18700000,119.0,1290540,50.077625,14.406875,157142.85714285713
392,2716938588,20500000,146.0,1290540,50.077625,14.406875,140410.95890410958
397,2788487004,7319700,52.0,1290540,50.0747957961749,14.4062614189579,140763.46153846153
398,267500636,13500000,115.0,1290540,50.0755600928265,14.407885867097399,117391.30434782608
399,269917276,9900000,81.0,1290540,50.0764885,14.4071083,122222.22222222222
402,2927185756,13200000,107.0,1290540,50.0753745351011,14.4039328510955,123364.4859813084
407,3038719580,6700000,51.0,1290540,50.0754402778,14.404204722200001,131372.54901960783
408,3059753308,28000000,193.0,1290540,50.077625,14.406875,145077.72020725388
409,3063819868,22317000,155.0,1290540,50.0753085253113,14.405656171915199,143980.64516129033
416,3248369244,15458000,115.0,1290540,50.0753085253113,14.405656171915199,134417.39130434784
419,3298823772,4350000,36.0,1290540,50.074863762022886,14.4060671836728,120833.33333333333
421,3345555036,8428000,62.0,1290540,50.0753085253113,14.405656171915199,135935.48387096773
427,3516804700,7345000,55.0,1290540,50.075308525311286,14.405656171915199,133545.45454545456
428,3541708380,4990000,45.0,1290540,50.0753085253112,14.405656171915199,110888.88888888889
430,3560513116,8982000,62.0,1290540,50.0753085253113,14.405656171915199,144870.96774193548
432,3583979100,12900000,121.0,1290540,50.0764768221959,14.407201607112599,106611.57024793388
435,3643776604,28000000,198.0,1290540,50.077675137468795,14.4067445014034,141414.14141414143
436,3648606044,12800000,92.0,1290540,50.0753745351011,14.4039328510955,139130.4347826087
437,3649068892,19900000,147.0,1290540,50.0741066251425,14.4092193573229,135374.14965986394
442,3785240156,9981000,83.0,1290540,50.075308525311286,14.405656171915199,120253.01204819277
443,3822824540,15800000,117.0,1290540,50.0790900051406,14.4079577899278,135042.73504273503
445,3885821788,12900000,118.0,1290540,50.0745637791926,14.4084718552078,109322.03389830509
448,379465308,11323000,87.0,1290540,50.075308525311286,14.405656171915199,130149.42528735632
453,4053675612,7722000,55.0,1290540,50.0753085253113,14.405656171915199,140400.0
457,4146507612,7490000,60.0,1290540,50.0725452228776,14.406985743015197,124833.33333333333
459,4173193052,7088850,52.0,1290540,50.074863762022886,14.4060671836728,136324.03846153847
461,4224180060,9800000,135.0,1290540,50.0753085253113,14.405656171915199,72592.5925925926
462,426454620,10500000,83.0,1290540,50.07804870605471,14.406379699707001,126506.02409638555
476,594852956,9999000,83.0,1290540,50.0780459395521,14.406319785518502,120469.8795180723
477,603475804,8950000,103.0,1290540,50.0764847,14.4071083,86893.20388349515
479,633835356,9699000,87.0,1290540,50.0757805619499,14.4076730916237,111482.75862068965
480,647900764,8176000,58.0,1290540,50.075308525311286,14.405656171915199,140965.5172413793
481,674766428,7910000,74.0,1290540,50.0745637791926,14.4084718552078,106891.8918918919
487,776982364,9850000,90.0,1290540,50.074310013408,14.4050253915871,109444.44444444444
497,78770012,12900000,115.0,1290540,50.075578713599995,14.408160619,112173.91304347826
504,916336220,5753000,37.0,1290540,50.0753085253113,14.405656171915199,155486.48648648648
532,111029852,8853000,66.0,1290540,50.075308525311286,14.405656171915199,134136.36363636365
539,116448860,18000000,138.0,1290540,50.0753085253113,14.405656171915199,130434.78260869565
541,118214236,10950000,100.0,1290540,50.0747303498528,14.406107176524902,109500.0
550,1379622748,13192000,91.0,1290540,50.075577627246105,14.4081603659485,144967.03296703298
564,4004802396,5582000,47.0,3058800,50.0708400514145,14.410441928289002,118765.9574468085
566,984903516,8928000,79.0,3058800,50.0708400514145,14.410441928289002,113012.65822784811
568,1266966364,13972000,127.0,3058800,50.0708400514145,14.410441928289002,110015.74803149606
570,1572056156,5680839,48.0,1290890,50.0674124459984,14.4083692012922,118350.8125
572,1751690332,21840000,156.0,1290890,50.06732620028689,14.4095087858644,140000.0
573,1780887388,5414108,47.0,1290890,50.0674447392886,14.407872414416401,115193.78723404255
575,1948466780,6885372,56.0,1290890,50.0674447392886,14.407872414416401,122953.07142857143
577,2065194844,9426642,74.0,1290890,50.0674124459984,14.4083692012922,127387.05405405405
578,2087051100,6990000,56.0,1290890,50.064027,14.409853,124821.42857142857
579,207539804,6900000,88.0,1290890,50.0670817,14.4095906,78409.09090909091
580,2312973916,6200000,50.0,1290890,50.0679199,14.408021,124000.0
581,2366721884,3997000,24.0,1290890,50.0680254246809,14.4081227247613,166541.66666666666
582,2535649116,5680839,48.0,1290890,50.0674124459984,14.4083692012922,118350.8125
583,2592206684,6620550,56.0,1290890,50.0674447392886,14.407872414416401,118224.10714285714
587,2756557916,11500000,119.0,1290890,50.0650483368816,14.4099792536189,96638.65546218488
588,2792288092,7260000,53.0,1290890,50.0640142607506,14.409691282743001,136981.1320754717
591,3129863772,5419260,46.0,1290890,50.0674124459984,14.4083692012922,117810.0
595,309902428,7199460,68.0,1290890,50.0674124459984,14.4083692012922,105874.41176470589
597,329830236,7800000,60.0,1290890,50.0653683643612,14.410002834247198,130000.0
598,3516329820,5660300,54.0,1290890,50.0674447392886,14.407872414416401,104820.37037037036
599,3543936604,10106442,85.0,1290890,50.0674447392886,14.407872414416401,118899.31764705882
601,3818319708,5906584,54.0,1290890,50.0674447392886,14.407872414416401,109381.18518518518
606,414240348,12835805,101.0,1290890,50.0674447392886,14.407872414416401,127087.17821782178
608,656334684,6990000,53.0,1290890,50.063902033587894,14.4095972119271,131886.79245283018
609,726855516,9426642,75.0,1290890,50.0674124459984,14.4083692012922,125688.56
614,1000709212,7208154,67.0,1290890,50.0674124459984,14.4083692012922,107584.3880597015
615,1078754908,8300000,75.0,1290890,50.0653961864677,14.409171323113599,110666.66666666667
616,1129267036,4690000,35.0,1290890,50.067445825600004,14.4078726675,134000.0
621,1250815580,5903617,48.0,1290890,50.0674124459984,14.4083692012922,122992.02083333333
622,1280613468,6283600,54.0,1290890,50.0674124459984,14.4083692012922,116362.96296296296
623,1323118172,7800000,60.0,1290890,50.0679199,14.408021,130000.0
624,1376837468,6990000,57.0,1290890,50.063902033587894,14.4095972119271,122631.57894736843
626,1562201948,8300000,90.0,1290110,50.0728607177734,14.3865299224854,92222.22222222222
