,local_unique_id,address,Country,lat,lng,coordinate_type,living_area,price,currency,title,type,offer_type,url
12235,1800687452,"Urbánkova, Praha 4 - Modřany",CZ,50.0019760090001,14.432997155564301,point,83.0,5990000.0,CZK,Prodej bytu 4+1 83 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+1/praha-modrany-urbankova/1800687452
12237,1800167260,"Velké Karlovice, okres Vsetín",CZ,49.360636126984,18.28355328895,polygon,64.0,5470131.0,CZK,Prodej bytu 2+kk 64 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/velke-karlovice-velke-karlovice-/1800167260
12238,1801272924,"Cíglerova, Praha 9 - Černý Most",CZ,50.1066000999573,14.5630036767191,point,65.0,5000000.0,CZK,Prodej bytu 2+1 65 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-cerny-most-ciglerova/1801272924
12239,1801076316,"Jankovcova, Praha 7 - Holešovice",CZ,50.1105093694938,14.4506235097543,point,47.0,4810000.0,CZK,Prodej bytu 1+kk 47 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-holesovice-jankovcova/1801076316
12240,1801133660,"Pod Slovany, Praha 2 - Nové Město",CZ,50.071562841288994,14.4162274658099,line,169.0,19490000.0,CZK,Prodej bytu 4+kk 169 m² (Mezonet),apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nove-mesto-pod-slovany/1801133660
12243,1801604956,"Baška, Chorvatsko",CZ,44.970932870095304,14.750801231034,point,33.0,2792330.0,CZK,Prodej bytu 2+kk 33 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/baska--/1801604956
12244,1803328604,"U Elektry, Praha 9 - Vysočany",CZ,50.102990399073,14.5196659254371,point,23.0,2550000.0,CZK,Prodej bytu 1+kk 23 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vysocany-u-elektry/1803328604
12245,1801592412,"Baranova, Praha 3 - Žižkov",CZ,50.0814754444442,14.4567280009348,point,105.0,8990000.0,CZK,Prodej bytu 3+1 105 m² (Mezonet),apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-baranova/1801592412
12248,1786957404,"Jankovcova, Praha 7 - Holešovice",CZ,50.1105093694938,14.4506235097543,point,48.0,5200000.0,CZK,Prodej bytu 2+kk 48 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-jankovcova/1786957404
12250,1802497884,"Za Dvorem, Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem",CZ,50.174459999999996,14.6467869444,line,99.0,6050000.0,CZK,Prodej bytu 3+kk 99 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/brandys-nad-labem-stara-boleslav-brandys-nad-labem-za-dvorem/1802497884
12252,1801563228,"Řehořova, Praha 3 - Žižkov",CZ,50.086208343505895,14.444350242614698,point,28.0,4990000.0,CZK,Prodej bytu 1+kk 28 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-rehorova/1801563228
12253,1802796892,"Pionýrů, Poděbrady - Poděbrady II",CZ,50.1457063183158,15.1179765625584,line,90.0,3900000.0,CZK,Prodej bytu 3+1 90 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/podebrady-podebrady-ii-pionyru/1802796892
12259,1802484828,"Pavla Beneše, Praha 9 - Letňany",CZ,50.13865539011189,14.5182442632061,point,71.0,4290000.0,CZK,Prodej bytu 1+kk 71 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-pavla-benese/1802484828
12260,1805528668,"Trogir, Chorvatsko",CZ,43.5166869187259,16.2499723393947,point,73.0,5422000.0,CZK,Prodej bytu 3+kk 73 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/trogir--/1805528668
12261,1803935324,"Javorská, Železná Ruda",CZ,49.1375194158936,13.231187604546196,line,77.0,5350000.0,CZK,Prodej bytu 3+kk 77 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/zelezna-ruda-zelezna-ruda-javorska/1803935324
12264,1805045340,"Střešovická, Praha 6 - Střešovice",CZ,50.0928707074015,14.3801668827966,line,84.0,9500000.0,CZK,Prodej bytu 3+1 84 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-stresovice-stresovicka/1805045340
12265,1805921884,"P. Bezruče, Neratovice",CZ,50.256333307621404,14.517319707051499,point,55.0,3150000.0,CZK,Prodej bytu 2+1 55 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/neratovice-neratovice-p--bezruce/1805921884
12266,1805356892,"K Cukrovaru, Odolena Voda",CZ,50.2330642404862,14.413340106014,line,79.0,5303920.0,CZK,Prodej bytu 3+kk 79 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/odolena-voda-odolena-voda-k-cukrovaru/1805356892
12269,1804394076,"Buková, Šimonovice - Minkovice",CZ,50.7217903137207,15.0569801330566,point,120.0,3750000.0,CZK,Prodej bytu 4+kk 120 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/simonovice-minkovice-bukova/1804394076
12270,1802522460,"Rabštejnská, Plzeň - Bolevec",CZ,49.78127784134621,13.363294450728299,point,89.0,3870000.0,CZK,Prodej bytu 4+1 89 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+1/plzen-bolevec-rabstejnska/1802522460
12274,1806249564,"Křižíkova, Praha 8 - Karlín",CZ,50.0924966988908,14.451131322039002,line,111.0,8300000.0,CZK,Prodej bytu 3+1 111 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-karlin-krizikova/1806249564
12276,1805631324,"Opava - Opava (nečleněná část města), okres Opava",CZ,49.9441944444,17.9094722222,polygon,93.0,3390000.0,CZK,Prodej bytu 3+1 93 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/opava-opava--neclenena-cast-mesta--/1805631324
12277,1806389084,"Hasičská, Ostrava - Hrabůvka",CZ,49.7921672388947,18.2624017842662,line,50.0,2193500.0,CZK,Prodej bytu 2+kk 50 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/ostrava-hrabuvka-hasicska/1806389084
12279,1805839964,"Železná Ruda - Špičák, okres Klatovy",CZ,49.157892744251,13.2268254224612,polygon,100.0,4050082.0,CZK,Prodej bytu 2+kk 100 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/zelezna-ruda-spicak-/1805839964
12280,1808625500,"Sartoriova, Praha 6 - Břevnov",CZ,50.0861299597256,14.3621254309315,point,79.0,6550000.0,CZK,Prodej bytu 3+1 79 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-brevnov-sartoriova/1808625500
12281,1807646556,"Skuteckého, Praha 6 - Řepy",CZ,50.06717704970701,14.3110009573248,line,77.0,4070000.0,CZK,Prodej bytu 3+1 77 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/praha-repy-skuteckeho/1807646556
12286,1807691356,"Rákosová, Nymburk",CZ,50.1784372222,15.0246083333,point,79.0,3625000.0,CZK,Prodej bytu 3+1 79 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/nymburk-nymburk-rakosova/1807691356
12287,1809960540,"Čerpadlová, Praha 9 - Vysočany",CZ,50.10077800000001,14.506194,point,53.0,5250000.0,CZK,Prodej bytu 2+kk 53 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-cerpadlova/1809960540
12288,1809550428,"Sportovní, Oslavany",CZ,49.1252335395885,16.336382350947098,line,70.0,2590000.0,CZK,Prodej bytu 3+1 70 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/oslavany-oslavany-sportovni/1809550428
12289,1809792604,"Tibetská, Praha 6 - Vokovice",CZ,50.098354,14.355453,point,127.0,13900000.0,CZK,Prodej bytu 4+kk 127 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vokovice-tibetska/1809792604
12293,1809824860,"Olbramovická, Praha 4 - Kamýk",CZ,50.016220219361,14.438452749617698,point,48.0,4100000.0,CZK,Prodej bytu 1+1 48 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/praha-kamyk-olbramovicka/1809824860
12297,1806954332,"Šafaříkova, Praha 2 - Vinohrady",CZ,50.0708495281732,14.434170597791901,line,99.0,12950000.0,CZK,Prodej bytu 3+kk 99 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-safarikova/1806954332
12298,1811308124,"Komenského, Horní Bříza",CZ,49.8432540013554,13.359122517170801,point,75.0,2580000.0,CZK,Prodej bytu 3+1 75 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/horni-briza-horni-briza-komenskeho/1811308124
12303,1809751132,"Borovského, Karviná - Ráj",CZ,49.8534901,18.5549788,point,81.0,1690000.0,CZK,Prodej bytu 3+1 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/karvina-raj-borovskeho/1809751132
12307,1810263900,"Jiřího Herolda, Ostrava - Bělský Les",CZ,49.782936379775,18.253649150737505,line,64.0,2100000.0,CZK,Prodej bytu 3+1 64 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/ostrava-belsky-les-jiriho-herolda/1810263900
12309,1811730268,"Na Zámyšli, Praha 5 - Košíře",CZ,50.0695237977622,14.374152355685695,line,41.0,4860000.0,CZK,Prodej bytu 2+kk 41 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-na-zamysli/1811730268
12310,1811054428,"Žitomírská, Praha 10 - Vršovice",CZ,50.0701436667154,14.456983312636002,line,60.0,5990000.0,CZK,Prodej bytu 2+1 60 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+1/praha-vrsovice-zitomirska/1811054428
12312,1811824220,"Slovinská, Brno - Královo Pole",CZ,49.2211468030955,16.5937464218264,line,55.0,5100000.0,CZK,Prodej bytu 2+kk 55 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-kralovo-pole-slovinska/1811824220
12313,1811181404,"Nad Zámkem, Třebíč - Podklášteří",CZ,49.2179814426079,15.8699034035109,line,61.0,3760000.0,CZK,Prodej bytu 2+kk 61 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/trebic-podklasteri-nad-zamkem/1811181404
12318,1812414044,"Freyova, Praha 9 - Vysočany",CZ,50.1066457921341,14.5023995654673,line,44.0,4690000.0,CZK,Prodej bytu 2+kk 44 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-freyova/1812414044
12319,1813274460,"Wolkerova, Unhošť",CZ,50.0872824105,14.135246873,point,100.0,6743500.0,CZK,Prodej bytu 4+kk 100 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+kk/unhost-unhost-wolkerova/1813274460
12326,1812737628,"Škrochova, Brno - Židenice",CZ,49.1978427115465,16.6499888773459,line,62.0,4950000.0,CZK,Prodej bytu 3+kk 62 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/brno-zidenice-skrochova/1812737628
12332,1815949148,"Rimavské Soboty, Kolín - Kolín II",CZ,50.0205430196,15.190743061900001,point,67.0,2990000.0,CZK,Prodej bytu 3+1 67 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/kolin-kolin-ii-rimavske-soboty/1815949148
12333,1814318940,"Havránkova, Brno - Dolní Heršpice",CZ,49.15420881017489,16.6216751578667,line,43.0,4390000.0,CZK,Prodej bytu 2+kk 43 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/brno-dolni-herspice-havrankova/1814318940
12336,1816010588,"Demlova, Jihlava",CZ,49.400078542238,15.608165727223305,line,75.0,2790000.0,CZK,Prodej bytu 3+1 75 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+1/jihlava-jihlava-demlova/1816010588
12340,1813851740,"Kolbenova, Praha",CZ,50.1106023994707,14.517480313799698,line,131.0,16143770.0,CZK,Prodej bytu 5+kk 131 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/5+kk/praha--kolbenova/1813851740
12343,1817067100,"Marbella, Španělsko",CZ,36.525152,-4.970657,point,113.0,10437350.0,CZK,Prodej bytu 3+kk 113 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/marbella--/1817067100
12344,1817033820,"17. listopadu, Mladá Boleslav - Mladá Boleslav II",CZ,50.4315871225,14.9184846751,line,48.0,2910000.0,CZK,Prodej bytu 2+kk 48 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/2+kk/mlada-boleslav-mlada-boleslav-ii-17--listopadu/1817033820
12346,1815915612,"Na Výpusti, Slušovice",CZ,49.249732491861714,17.8009153838491,line,38.0,1100000.0,CZK,Prodej bytu 1+1 38 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+1/slusovice-slusovice-na-vypusti/1815915612
12352,1816677980,"Perucká, Praha 2 - Vinohrady",CZ,50.06918716430661,14.437591552734402,point,28.0,4296000.0,CZK,Prodej bytu 1+kk 28 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-perucka/1816677980
12353,1817710428,"Polská, Praha 2 - Vinohrady",CZ,50.078406177250606,14.444603805708196,point,125.0,18700000.0,CZK,Prodej bytu 3+kk 125 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-polska/1817710428
12354,1817780060,"Česká, Most",CZ,50.4897462635544,13.647070465693801,line,81.0,1559000.0,CZK,Prodej bytu 4+1 81 m²,apartment,sale,https://www.sreality.cz/detail/prodej/byt/4+1/most-most-ceska/1817780060
