id,local_unique_id,price,living_area,kod_zsj_d,lat,lng,prumer
1,1524603996,25000,59.0,1287910,50.073078569188496,14.3945013211692,423.728813559322
2,1596903260,17500,77.0,1287910,50.072450221459896,14.393631853154302,227.27272727272728
3,1684160092,25500,78.0,1287910,50.072998,14.393127400000001,326.9230769230769
4,1690648156,9500,21.0,1287910,50.0737994196445,14.3941386045369,452.3809523809524
6,1712958556,18900,76.0,1287910,50.070673439678,14.399010320751,248.68421052631578
7,1785909084,35000,80.0,1287910,50.07384872436521,14.394280433654801,437.5
8,1846119516,13500,68.0,1287910,50.07205490371489,14.3957318357246,198.52941176470588
9,1863860060,25000,60.0,1287910,50.07453929954929,14.397633287388501,416.6666666666667
11,1972485212,16000,40.0,1287910,50.0740469793,14.3966542426,400.0
13,2012143196,15000,45.0,1287910,50.0724679785,14.3954061507,333.3333333333333
14,2011242332,27000,74.0,1287910,50.0744743,14.397159599999998,364.86486486486484
15,2069634908,19000,56.0,1287910,50.07453929954929,14.397633287388501,339.2857142857143
17,2117783388,15000,45.0,1287910,50.0747824,14.3950011,333.3333333333333
19,2242878556,16000,40.0,1287910,50.073078569188496,14.3945013211692,400.0
20,2242784860,39000,62.0,1287910,50.0737994196445,14.3941386045369,629.0322580645161
23,2325847132,15900,58.0,1287910,50.070673439678,14.399010320751,274.13793103448273
24,2356440924,36000,85.0,1287910,50.07453929954929,14.397633287388501,423.52941176470586
25,2360225372,35000,55.0,1287910,50.0737994196445,14.3941386045369,636.3636363636364
26,225164380,9900,35.0,1287910,50.0731912851089,14.3957326578432,282.85714285714283
27,2397871196,15000,63.0,1287910,50.0724294819535,14.396556779178601,238.0952380952381
28,2404532060,55000,194.0,1287910,50.0748423015374,14.3936457230982,283.50515463917526
31,2432126812,26000,80.0,1287910,50.0739,14.3943,325.0
34,2483543900,22400,45.0,1287910,50.0737994196445,14.3941386045369,497.77777777777777
35,2516721500,23500,84.0,1287910,50.0737994196445,14.3941386045369,279.76190476190476
37,2566573916,13000,45.0,1287910,50.0737994196445,14.3941386045369,288.8888888888889
39,2613071708,15000,60.0,1287910,50.0711645354735,14.396010116908199,250.0
43,2693152604,9500,28.0,1287910,50.0737994196445,14.3941386045369,339.2857142857143
44,2745401180,10000,45.0,1287910,50.07144441784372,14.396587233455904,222.22222222222223
47,2794302556,12000,45.0,1287910,50.0722116267504,14.3941482463315,266.6666666666667
48,2811141212,15000,48.0,1287910,50.0733246891532,14.3953638904022,312.5
49,2843720796,9800,48.0,1287910,50.0720981669,14.390145820699999,204.16666666666666
51,2870157148,21000,73.0,1287910,50.0747813,14.3949971,287.67123287671234
52,2880543836,8990,37.0,1287910,50.0724487304688,14.393199920654302,242.97297297297297
53,2884984412,18000,89.0,1287910,50.0737994196445,14.3941386045369,202.24719101123594
54,2889027420,25000,75.0,1287910,50.074539299499996,14.3976332874,333.3333333333333
55,2955382620,21200,60.0,1287910,50.0737994196445,14.3941386045369,353.3333333333333
56,2975288924,33500,103.0,1287910,50.072998,14.393127400000001,325.24271844660194
57,3004480604,18000,71.0,1287910,50.073078569188496,14.3945013211692,253.5211267605634
58,3010953052,25000,93.0,1287910,50.07453929954929,14.397633287388501,268.81720430107526
59,3014536796,32000,38.0,1287910,50.0737994196445,14.3941386045369,842.1052631578947
62,3120139356,14000,35.0,1287910,50.07144441784372,14.396587233455904,400.0
67,30695260,36000,108.0,1287910,50.072540283203104,14.396120071411099,333.3333333333333
68,3284090460,23000,60.0,1287910,50.073164156493704,14.394345114284803,383.3333333333333
69,3292216924,17000,43.0,1287910,50.07468032836911,14.394900321960401,395.3488372093023
70,3292516188,25000,50.0,1287910,50.0737994196445,14.3941386045369,500.0
73,3411812188,25000,85.0,1287910,50.07453929954929,14.397633287388501,294.11764705882354
75,334520156,19500,101.0,1287910,50.0699645978989,14.3994390464237,193.06930693069307
77,3590364252,11500,21.0,1287910,50.07265930763571,14.391943227034199,547.6190476190476
79,3617857372,13100,31.0,1287910,50.0724294819535,14.396556779178601,422.5806451612903
80,3659971676,8500,25.0,1287910,50.0731912851089,14.3957326578432,340.0
82,3707288668,30000,96.0,1287910,50.074779510498,14.394000053405799,312.5
83,3770437468,15500,65.0,1287910,50.0731295422018,14.3954793388182,238.46153846153845
85,3796864860,19000,55.0,1287910,50.0748423015374,14.3936457230982,345.45454545454544
86,3825020764,25000,66.0,1287910,50.07453929954929,14.397633287388501,378.7878787878788
87,3879300956,26000,81.0,1287910,50.074241816800004,14.3975607627,320.98765432098764
92,4048367196,39000,99.0,1287910,50.0737994196445,14.3941386045369,393.93939393939394
94,4072017500,11900,32.0,1287910,50.0737994196445,14.3941386045369,371.875
95,4094709340,21000,80.0,1287910,50.07352904820622,14.3936493236823,262.5
96,4092120924,14500,45.0,1287910,50.073297252136896,14.395177551937802,322.22222222222223
97,4103733084,9500,39.0,1287910,50.071622390771296,14.393542348754,243.5897435897436
98,398830684,10490,47.0,1287910,50.0725593566895,14.395389556884801,223.19148936170214
101,409747036,17000,47.0,1287910,50.0727852557201,14.3930138276822,361.70212765957444
103,449081180,22500,56.0,1287910,50.0699645978989,14.3994390464237,401.7857142857143
104,521346652,10000,18.0,1287910,50.070673439678,14.399010320751,555.5555555555555
105,560107356,11000,33.0,1287910,50.0737994196445,14.3941386045369,333.3333333333333
110,812212060,22000,64.0,1287910,50.0719795227051,14.3960399627686,343.75
115,846802780,17000,48.0,1287910,50.07453929954929,14.397633287388501,354.1666666666667
120,909155420,22000,102.0,1287910,50.07386339999999,14.3942769,215.68627450980392
